"Time","y","x_dfy","x_infl","x_svar","x_tms","x_tbl","x_dfr","x_dp","x_ltr","x_ep","x_bmr","x_ntis"
198501,0.112890203957302,0.0127,0,0.001190105,0.0364,0.0806,0.0037,-3.10053486467656,0.0091,-2.3076204710953,0.733098377,-0.027196787
198502,0.0453034334160702,0.0118,0.001899335,0.001635821,0.0351,0.0776,-0.0039,-3.16627027601404,0.0364,-2.38410832604392,0.690255446,-0.029905005
198503,0.033170098483283,0.011,0.004739337,0.000745296,0.0382,0.0827,0.012,-3.16920299941787,-0.0493,-2.39780531602999,0.691739161,-0.024518918
198504,0.0307794107765208,0.0113,0.003773585,0.000802286,0.0329,0.0852,-0.0128,-3.1606048279692,0.0307,-2.39994541896596,0.723645779,-0.024815769
198505,0.090364908796025,0.0128,0.004699248,0.00045988,0.0367,0.0795,0.0054,-3.15252039750026,0.0242,-2.41133106803999,0.72866159,-0.022411793
198506,0.0474826245043286,0.0143,0.003741815,0.00083386,0.0314,0.0748,-0.0076,-3.20170673039544,0.0896,-2.48022230742403,0.696892984,-0.025480931
198507,0.0294891956551769,0.0146,0.002795899,0.00074152,0.036,0.0695,-0.0059,-3.21031212909133,0.0142,-2.50880208216562,0.686430144,-0.026607514
198508,0.0234104186066396,0.0146,0.001858736,0.00071863,0.0383,0.0708,0.0059,-3.20115970749737,-0.018,-2.5120924684008,0.68032209,-0.024638663
198509,0.000856713245317489,0.0145,0.001855288,0.000629695,0.0354,0.0714,9.99999999999994e-05,-3.18480508501046,0.0259,-2.50823556347033,0.687176258,-0.024227473
198510,0.0791976595613418,0.0141,0.002777778,0.000865843,0.0372,0.071,0.0092,-3.14520731657565,-0.0021,-2.4811789840309,0.68995883,-0.031294354
198511,0.100493179352239,0.0134,0.003693444,0.000911764,0.0335,0.0716,-0.000899999999999998,-3.18428964826123,0.0338,-2.53647392544116,0.667025635,-0.027069342
198512,0.0776581462334974,0.0144,0.00275989,0.000943068,0.0287,0.0724,-0.0031,-3.24478102375645,0.0401,-2.61335400461818,0.622703158,-0.027715873
198601,0.0343626114826991,0.0142,0.002752294,0.001230076,0.0246,0.071,-0.00720000000000001,-3.2863215085159,0.0541,-2.67147804222627,0.592692688,-0.019465082
198602,0.103883888856247,0.0139,0.002744739,0.001920158,0.0251,0.0707,0.007,-3.28363472474326,-0.0025,-2.6758972734218,0.5835174,-0.019171777
198603,0.0821547166178871,0.0144,-0.002737226,0.00108929,0.0135,0.0706,-0.0393,-3.34765912099665,0.1145,-2.74700653884087,0.536376722,-0.017914257
198604,0.0143475880050398,0.015,-0.004574565,0.001373734,0.011,0.0656,-0.0514,-3.39410663245334,0.077,-2.80051804493511,0.519627628,-0.016419622
198605,0.0796198633457023,0.014,-0.001838235,0.002458946,0.0176,0.0606,0.0096,-3.37653376604574,-0.008,-2.7819187971219,0.529714459,-0.024584783
198606,0.0416701541293564,0.012,0.002762431,0.001369931,0.0233,0.0615,0.0341,-3.42224201704456,-0.0505,-2.82658928355727,0.503540771,-0.021871955
198607,-0.0314052318379938,0.0121,0.005509642,0.001596519,0.0169,0.0621,-0.0395,-3.43295122399643,0.0613,-2.83628775106147,0.499281457,-0.012293237
198608,0.101274938653826,0.0128,0,0.002415824,0.0226,0.0583,0.0139,-3.3671446471072,-0.0108,-2.77264293343305,0.532301401,-0.011286033
198609,-0.0573899171338413,0.0146,0.001826484,0.001260585,0.021,0.0553,-0.0224,-3.43060188433891,0.0499,-2.83826264171443,0.497803344,-0.009676952
198610,0.0857905407493676,0.0131,0.004557885,0.004207383,0.0306,0.0521,0.0386,-3.33601601860104,-0.05,-2.74580216804131,0.534629267,-0.00513866
198611,0.051453515278918,0.0138,0.000907441,0.000990594,0.0285,0.0518,-0.01,-3.38727313439534,0.0289,-2.80742408193166,0.503245802,-0.008024504
198612,4.73643703666907e-05,0.0139,0.000906618,0.001730857,0.0244,0.0535,-0.0034,-3.4065120170285,0.0267,-2.83708850994351,0.493671085,-0.002124438
198701,0.161849180235147,0.0148,0.000905797,0.001262342,0.0236,0.0553,0.0135,-3.37579699047524,-0.0018,-2.81687157191484,0.498430866,-0.011375999
198702,0.0629888449693003,0.0136,0.006334842,0.002478227,0.0235,0.0543,0.0055,-3.49716451977326,0.0161,-2.92647771223998,0.437897351,-0.005840659
